tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,genres,averageRating,numVotes,sortedTitle,imdb_url
tt0353496,movie,Godfather,Godfather,0,1991,\N,Comedy Drama Romance,8.6,3092,Godfather (1991),https://www.imdb.com/title/tt0353496/
tt8080122,tvSeries,Godfather of Harlem,Godfather of Harlem,0,2019,\N,Crime Drama,8.0,7511,Godfather of Harlem (2019– ),https://www.imdb.com/title/tt8080122/
tt0288861,movie,Godforsaken,Van God los,0,2003,\N,Crime Drama Thriller,7.2,4649,Godforsaken (2003),https://www.imdb.com/title/tt0288861/
tt5516154,tvMiniSeries,Godless,Godless,0,2017,2017,Drama Western,8.3,55254,Godless (2017),https://www.imdb.com/title/tt5516154/
tt0120684,movie,Gods and Monsters,Gods and Monsters,0,1998,\N,Biography Drama,7.4,29527,Gods and Monsters (1998),https://www.imdb.com/title/tt0120684/
tt0070121,movie,Godspell,Godspell: A Musical Based on the Gospel According to St. Matthew,0,1973,\N,Comedy Drama Musical,6.5,3171,Godspell (1973),https://www.imdb.com/title/tt0070121/
tt0831387,movie,Godzilla,Godzilla,0,2014,\N,Action Adventure Sci-Fi,6.4,390940,Godzilla (2014),https://www.imdb.com/title/tt0831387/
tt0314111,movie,Godzilla Against MechaGodzilla,Gojira X Mekagojira,0,2002,\N,Action Sci-Fi Thriller,6.7,4163,Godzilla Against MechaGodzilla (2002),https://www.imdb.com/title/tt0314111/
tt0097444,movie,Godzilla vs. Biollante,Gojira vs. Biorante,0,1989,\N,Action Sci-Fi,6.6,5363,Godzilla vs. Biollante (1989),https://www.imdb.com/title/tt0097444/
tt0113187,movie,Godzilla vs. Destoroyah,Gojira vs. Desutoroiâ,0,1995,\N,Action Horror Sci-Fi,7.0,5809,Godzilla vs. Destoroyah (1995),https://www.imdb.com/title/tt0113187/
tt0101962,movie,Godzilla vs. King Ghidorah,Gojira vs. Kingu Gidorâ,0,1991,\N,Action Adventure Drama,6.6,5898,Godzilla vs. King Ghidorah (1991),https://www.imdb.com/title/tt0101962/
tt5034838,movie,Godzilla vs. Kong,Godzilla vs. Kong,0,2021,\N,Action Sci-Fi Thriller,6.5,122766,Godzilla vs. Kong (2021),https://www.imdb.com/title/tt5034838/
tt0071565,movie,Godzilla vs. Mechagodzilla,Gojira tai Mekagojira,0,1974,\N,Action Family Fantasy,6.4,6114,Godzilla vs. Mechagodzilla (1974),https://www.imdb.com/title/tt0071565/
tt0107027,movie,Godzilla vs. Mechagodzilla II,Gojira vs. Mekagojira,0,1993,\N,Action Adventure Drama,6.6,4620,Godzilla vs. Mechagodzilla II (1993),https://www.imdb.com/title/tt0107027/
tt0279112,movie,"Godzilla, Mothra and King Ghidorah: Attack of the Giant Monsters","Gojira, Mosura, Kingu Gidorâ: Daikaijû sôkôgeki",0,2001,\N,Action Adventure Drama,7.1,5512,"Godzilla, Mothra and King Ghidorah: Attack of the Giant Monsters (2001)",https://www.imdb.com/title/tt0279112/
